job_id,title,company,url,salary_raw,min_salary_mil,max_salary_mil,skills,benefits,posted_date,processed_at
1985056,"Trình Dược Viên Kênh ETC (Nghệ An, Thanh Hóa, Vĩnh Phúc, Sơn La, Tuyên Quang) - Thu Nhập Hấp Dẫn (Đi Làm Ngay)",CÔNG TY CỔ PHẦN ANVY,https://www.topcv.vn/viec-lam/trinh-duoc-vien-kenh-etc-nghe-an-thanh-hoa-vinh-phuc-son-la-tuyen-quang-thu-nhap-hap-dan-di-lam-ngay/1985056.html,10 - 20 triệu,10.0,20.0,"['Trình dược viên', 'Direct Sales', 'B2B', 'B2C', 'Y tế / ...']",[],2025-12-16,2025-12-23 13:11:26
1989207,"Nhân Viên Seller/ Kinh Doanh/ Sales Admin/ Chăm Sóc Khách Hàng/ Vận Hành Sàn TMĐT ( Chỉ Tuyển Nữ ) Tại Bắc Từ Liêm, Hà Nội - Thu Nhập Hấp Dẫn - Đi Làm Ngay",CÔNG TY TNHH VELA MEDIA GROUP,https://www.topcv.vn/viec-lam/nhan-vien-seller-kinh-doanh-sales-admin-cham-soc-khach-hang-van-hanh-san-tmdt-chi-tuyen-nu-tai-bac-tu-liem-ha-noi-thu-nhap-hap-dan-di-lam-ngay/1989207.html,100 - 200 triệu,100.0,200.0,"['Kinh doanh sàn thương mại điện tử', 'Online ...']",[],2025-12-19,2025-12-23 13:11:26
1983259,Kế Toán Tổng Hợp - Từ 5 Năm Kinh Nghiệm,CÔNG TY TNHH BỘT KIM LOẠI PHAN HÙNG,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-tu-5-nam-kinh-nghiem/1983259.html,12 - 15 triệu,12.0,15.0,"['Kế toán tổng hợp', 'Kế toán', 'Tuổi 27 - 40', '5 năm...']",[],2025-12-16,2025-12-23 13:11:26
1991177,"Nhân Viên Sales Thị Trường Quốc Tế Kiêm Trợ Lý Giám Đốc – Yêu Cầu Tiếng Anh, Trung – Lương Cơ Bản 20 Triệu, Thu Nhập Không Giới Hạn Theo Hiệu Quả Kinh Doanh",CÔNG TY TNHH MTV NGUỒN CAO SU VIỆT,https://www.topcv.vn/viec-lam/nhan-vien-sales-thi-truong-quoc-te-kiem-tro-ly-giam-doc-yeu-cau-tieng-anh-trung-luong-co-ban-20-trieu-thu-nhap-khong-gioi-han-theo-hieu-qua-kinh-doanh/1991177.html,Thoả thuận,,,"['Sales Xuất nhập khẩu/Logistics khác', 'B2B', 'B2...']",[],2025-12-20,2025-12-23 13:11:26
1983984,Kế Toán Chi Phí - Đi Làm Ngay - Chấp Nhận Sinh Viên Mới Ra Trường,Công Ty TNHH A Sóc,https://www.topcv.vn/viec-lam/ke-toan-chi-phi-di-lam-ngay-chap-nhan-sinh-vien-moi-ra-truong/1983984.html,10 - 15 triệu,10.0,15.0,"['Kế toán chi phí/giá thành', 'Kế toán', 'Logistic...']",[],2025-12-16,2025-12-23 13:11:26
1986495,Head Of Segments - Retail Banking Division,Ngân hàng TMCP Quốc Dân,https://www.topcv.vn/viec-lam/head-of-segments-retail-banking-division/1986495.html,Thoả thuận,,,"['Giám đốc khối khách hàng cá nhân', 'Ngân hàn...']",[],2025-12-16,2025-12-23 13:11:26
1989205,Chuyên Viên Tư Vấn Tín Dụng (LC 13 Đến 20 Triệu + Hoa Hồng) - TPBank Hà Nội,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN TIÊN PHONG - CHI NHÁNH HOÀN KIẾM,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tin-dung-lc-13-den-20-trieu-hoa-hong-tpbank-ha-noi/1989205.html,Từ 25 triệu,25.0,,"['Tư vấn tín dụng', 'Direct Sales', 'Telesales', 'Onli...']",[],2025-12-18,2025-12-23 13:11:26
1988986,Nhân Viên Kinh Doanh Kênh Nhà Hàng,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI SHIBA SHIBA,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-kenh-nha-hang/1988986.html,15 - 25 triệu,15.0,25.0,['Dir...'],['Sales Nhà hàng/Khách sạn/Du lịch khác'],2025-12-20,2025-12-23 13:11:26
1988957,Nhân Viên Hỗ Trợ Khách Hàng / Hỗ Trợ Ứng Dụng,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI SHIBA SHIBA,https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-khach-hang-ho-tro-ung-dung/1988957.html,9 - 13 triệu,9.0,13.0,['Customer Experience (Trải nghiệm khách h...'],[],2025-12-20,2025-12-23 13:11:26
1925131,Chuyên Viên Vận Hành Sàn Tiktokshop/ Ecommerce Executive,Công ty TNHH TM Thiên Thủy Mộc,https://www.topcv.vn/viec-lam/chuyen-vien-van-hanh-san-tiktokshop-ecommerce-executive/1925131.html,15 - 18 triệu,15.0,18.0,"['Kinh doanh sàn thương mại điện tử', 'Online ...']",[],2025-12-16,2025-12-23 13:11:26
